Abbrev,Name,Count,Jurisdiction,Citation Abbrev,Start Date,End Date,In Use,Last Modified
nyfamct,New York Family Court,1,State Special,N.Y. Fam. Ct.,Unknown,Unknown,Yes,2013-10-23T11:03
nysurct,New York Surrogate's Court,4,State Special,N.Y. Sur. Ct.,Unknown,Unknown,Yes,2015-10-29T11:12
nycivct,Civil Court of the City of New York,0,State Special,N.Y. City Civ. Ct.,Unknown,Unknown,Yes,2016-05-18T12:12
nycrimct,Criminal Court of the City of New York,0,State Special,N.Y. City Crim. Ct.,Unknown,Unknown,Yes,2016-05-18T12:14
nyag,New York Attorney General Reports,0,State Attorney General,N.Y. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:10
nc,Supreme Court of North Carolina,15899,State Supreme,N.C.,Unknown,Unknown,Yes,2013-09-08T18:10
ncctapp,Court of Appeals of North Carolina,21660,State Appellate,N.C. Ct. App.,Unknown,Unknown,Yes,2014-09-08T13:26
ncsuperct,Superior Court of North Carolina,0,State Appellate,Sup. Ct. N.C.,Unknown,Unknown,Yes,2016-05-18T12:06
ncworkcompcom,North Carolina Industrial Commission,0,State Special,N.C. Indus. Comm.,Unknown,Unknown,Yes,2016-05-18T12:09
nd,North Dakota Supreme Court,10430,State Supreme,N.D.,Unknown,Unknown,Yes,2013-08-14T09:46
ndctapp,North Dakota Court of Appeals,65,State Appellate,N.D. Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:43
ohio,Ohio Supreme Court,3011,State Supreme,Ohio,Unknown,Unknown,Yes,2013-08-15T13:09
ohioctapp,Ohio Court of Appeals,20632,State Appellate,Ohio Ct. App.,Unknown,Unknown,Yes,2014-08-01T12:33
ohioctcl,Ohio Court of Claims,1487,State Special,Ohio Ct. Cl.,Unknown,Unknown,Yes,2014-08-01T12:47
okla,Supreme Court of Oklahoma,9880,State Supreme,Okla.,Unknown,Unknown,Yes,2014-07-11T13:29
oklacivapp,Court of Civil Appeals of Oklahoma,3668,State Appellate,Okla. Civ. App.,1/1/1908,Unknown,Yes,2014-07-11T13:30
oklacrimapp,Court of Criminal Appeals of Oklahoma,4553,State Appellate,Okla. Crim. App.,Unknown,Unknown,Yes,2014-07-11T13:30
oklajeap,Oklahoma Judicial Ethics Advisory Panel,13,State Special,Okla. J.E.A.P.,Unknown,Unknown,Yes,2013-08-15T14:14
oklacoj,Court on the Judiciary of Oklahoma,3,State Special,Okla. C.O.J.,Unknown,Unknown,Yes,2013-09-07T13:16
oklaag,Oklahoma Attorney General Reports,0,State Special,Okla. Att’y Gen.,Unknown,Unknown,Yes,2014-07-11T13:44
or,Oregon Supreme Court,12231,State Supreme,Or.,Unknown,Unknown,Yes,2013-08-14T09:46
orctapp,Court of Appeals of Oregon,18652,State Appellate,Or. Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:42
ortc,Oregon Tax Court,0,State Special,Or. T.C.,Unknown,Unknown,Yes,2016-05-18T12:29
pa,Supreme Court of Pennsylvania,29108,State Supreme,Pa.,Unknown,Unknown,Yes,2014-08-01T13:56
pasuperct,Superior Court of Pennsylvania,35356,State Appellate,Pa. Super. Ct.,Unknown,Unknown,Yes,2014-08-01T13:56
pacommwct,Commonwealth Court of Pennsylvania,11044,State Appellate,Pa. Commw. Ct.,Unknown,Unknown,Yes,2016-05-17T16:45
cjdpa,Court of Judicial Discipline of Pennsylvania,41,State Special,Ct. Jud. Disc. Pa,Unknown,Unknown,Yes,2013-10-29T23:08
ri,Supreme Court of Rhode Island,8678,State Supreme,R.I.,Unknown,Unknown,Yes,2014-08-08T13:59
risuperct,Superior Court of Rhode Island,0,State Appellate,Sup. Ct. R.I.,Unknown,Unknown,Yes,2016-05-18T12:33
sc,Supreme Court of South Carolina,8774,State Supreme,S.C.,Unknown,Unknown,Yes,2013-09-08T23:22
scctapp,Court of Appeals of South Carolina,3851,State Appellate,S.C. Ct. App.,Unknown,Unknown,Yes,2013-09-09T09:44
sd,South Dakota Supreme Court,7974,State Supreme,S.D.,Unknown,Unknown,Yes,2013-08-14T09:46
tenn,Tennessee Supreme Court,5007,State Supreme,Tenn.,Unknown,Unknown,Yes,2013-09-08T16:57
tennctapp,Court of Appeals of Tennessee,15131,State Appellate,Tenn. Ct. App.,Unknown,Unknown,Yes,2013-09-08T19:23
tenncrimapp,Court of Criminal Appeals of Tennessee,18454,State Appellate,Tenn. Crim. App.,Unknown,Unknown,Yes,2013-09-09T09:30
tennsuperct,Tennessee Superior Court for Law and Equity,0,State Appellate,Tenn. Sup. Ct.,1796-01-01,1809-12-31,Yes,2016-06-18T13:01
tex,Texas Supreme Court,9091,State Supreme,Tex.,Unknown,Unknown,Yes,2014-08-08T10:27
texapp,Court of Appeals of Texas,258143,State Appellate,Tex. App.,Unknown,Unknown,Yes,2014-08-08T10:27
texcrimapp,Court of Criminal Appeals of Texas,28790,State Appellate,Tex. Crim. App.,Unknown,Unknown,Yes,2015-09-02T11:29
texreview,Texas Special Court of Review,5,State Special,Tex. Rev.,Unknown,Unknown,Yes,2013-10-30T00:11
texjpml,Texas Judicial Panel on Multidistrict Litigation,0,State Appellate,Tex. J.P.M.L.,Unknown,Unknown,Yes,2016-06-18T13:01
texag,Texas Attorney General Reports,0,State Attorney General,Tex. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:12
utah,Utah Supreme Court,7864,State Supreme,Utah,Unknown,Unknown,Yes,2013-08-14T09:46
utahctapp,Court of Appeals of Utah,3453,State Appellate,Utah Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:42
vt,Supreme Court of Vermont,6897,State Supreme,Vt.,Unknown,Unknown,Yes,2013-09-09T10:24
va,Supreme Court of Virginia,7555,State Supreme,Va.,Unknown,Unknown,Yes,2013-09-09T10:23
vactapp,Court of Appeals of Virginia,5180,State Appellate,Va. Ct. App.,Unknown,Unknown,Yes,2013-09-09T10:05
wash,Washington Supreme Court,14488,State Supreme,Wash.,Unknown,Unknown,Yes,2013-08-14T09:46
washctapp,Court of Appeals of Washington,15309,State Appellate,Wash. Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:42
